id,年龄,每月补贴积分,自理能力,居住情况,性别,婚姻状况,留存天数,观察期最后一次购买日期,第一次,最后一次,花费积分总数,总次数,月均次数,次均积分,家政服务,精神慰藉,生活照料,医疗保健,最大消费积分数,购买概率,购买天数,时间间隔,用户流失,最后一次距离12/31天数
1,86,200,2,偶居,1,1,310,2020/1/16,2019/3/12,2021/12/15,1543,101,9.774193548,15.27722772,11,0,90,0,66,2.104166667,48,6.458333333,0,16
2,88,100,3,偶居,1,1,109,2019/7/19,2019/4/1,2021/10/22,696,58,15.96330275,12,0,0,58,0,12,2,29,3.75862069,1,70
3,87,100,3,偶居,1,1,291,2019/12/21,2019/3/5,2020/12/29,528,15,1.546391753,35.2,10,0,5,0,80,3,5,58.2,1,367
4,86,100,3,与配偶及子女同住,1,0,160,2019/11/27,2019/6/20,2021/3/4,635.4,20,3.75,31.77,20,0,0,0,48.8,5,4,40,1,302
5,85,100,3,与子女同住,0,3,334,2019/12/17,2019/1/17,2020/12/8,871,64,5.748502994,13.609375,4,0,58,2,60,1.084745763,59,5.661016949,1,388
6,84,100,3,偶居,1,1,397,2020/6/7,2019/5/7,2021/12/10,916,22,1.662468514,41.63636364,22,0,0,0,70,3.666666667,6,66.16666667,0,21
7,83,100,3,偶居,1,1,509,2020/6/15,2019/1/23,2021/8/29,1126,29,1.709233792,38.82758621,19,0,10,0,228,2.9,10,50.9,1,124
8,83,100,3,偶居,1,1,313,2019/12/1,2019/1/22,2020/10/12,870,57,5.463258786,15.26315789,7,0,50,0,60,2.035714286,28,11.17857143,1,445
9,83,100,3,与配偶及子女同住,1,1,257,2019/12/21,2019/4/8,2021/12/3,488,13,1.517509728,37.53846154,10,0,1,2,64,4.333333333,3,85.66666667,0,28
10,83,100,3,偶居,0,1,198,2019/12/29,2019/6/14,2021/12/24,1154.6,24,3.636363636,48.10833333,22,0,0,2,65.6,3.428571429,7,28.28571429,0,7
11,86,200,3,入住养老机构,0,1,337,2020/1/21,2019/2/18,2021/5/30,2182,234,20.83086053,9.324786325,9,0,224,1,138,1.360465116,172,1.959302326,1,215
12,83,300,1,与子女同住,1,1,472,2020/6/24,2019/3/10,2021/10/17,3132,75,4.766949153,41.76,30,0,45,0,600,1.530612245,49,9.632653061,1,75
13,87,100,3, ,0,3,497,2020/6/9,2019/1/29,2021/12/5,1070,38,2.293762575,28.15789474,14,0,22,2,160,1.407407407,27,18.40740741,0,26
14,86,200,2,与子女同住,0,1,363,2020/1/19,2019/1/21,2021/12/3,2236,50,4.132231405,44.72,50,0,0,0,70,3.333333333,15,24.2,0,28
15,85,100,3,偶居,1,1,154,2019/10/24,2019/5/23,2021/11/25,720,7,1.363636364,102.8571429,7,0,0,0,160,3.5,2,77,1,36
16,73,500,3,偶居,1,1,530,2020/6/20,2019/1/7,2021/12/20,5645,104,5.886792453,54.27884615,102,0,0,2,80,4,26,20.38461538,0,11
17,103,300,2,与子女同住,0,3,209,2020/1/9,2019/6/14,2021/12/24,1696,33,4.736842105,51.39393939,25,0,8,0,110,4.125,8,26.125,0,7
18,101,300,1,与子女同住,1,3,365,2020/1/6,2019/1/6,2021/12/29,3757,110,9.04109589,34.15454545,110,0,0,0,52,4.230769231,26,14.03846154,0,2
19,99,100,3,与子女同住,0,1,511,2020/6/10,2019/1/16,2021/9/28,1319,32,1.878669276,41.21875,28,0,4,0,80,3.2,10,51.1,1,94
20,97,200,2,与子女同住,0,3,516,2020/6/19,2019/1/20,2021/12/13,3438,75,4.360465116,45.84,75,0,0,0,180,3.947368421,19,27.15789474,0,18
21,96,400,0,与子女同住,0,1,526,2020/6/25,2019/1/16,2021/12/22,5082.5,87,4.961977186,58.41954023,81,0,6,0,112.5,2.9,30,17.53333333,0,9
22,96,400,0,与子女同住,0,3,541,2020/6/28,2019/1/4,2021/9/25,4418,50,2.772643253,88.36,30,0,18,2,144,1.724137931,29,18.65517241,1,97
23,96,200,1,与配偶及子女同住,1,1,367,2020/1/14,2019/1/12,2021/11/29,2560,48,3.923705722,53.33333333,48,0,0,0,100,2.285714286,21,17.47619048,1,32
24,95,200,2,与其他人同住,0,1,366,2020/1/8,2019/1/7,2021/12/30,2282,65,5.327868852,35.10769231,49,0,16,0,90,4.0625,16,22.875,0,1
25,95,200,2,与配偶及子女同住,0,1,366,2020/1/5,2019/1/4,2021/12/7,2533,74,6.06557377,34.22972973,74,0,0,0,64.8,3.083333333,24,15.25,0,24
26,95,200,1,与配偶及子女同住,0,1,375,2020/1/17,2019/1/7,2021/12/9,2600,44,3.52,59.09090909,43,0,1,0,100,1.833333333,24,15.625,0,22
27,95,400,0,与子女同住,0,3,532,2020/6/24,2019/1/9,2021/12/31,5257.9,110,6.203007519,47.79909091,100,0,10,0,93.6,3.4375,32,16.625,0,0
28,95,300,1,与子女同住,1,1,535,2020/6/24,2019/1/6,2021/12/30,4146.64,77,4.317757009,53.85246753,72,0,5,0,115.2,3.666666667,21,25.47619048,0,1
